Scenario - ODR
Logfile written - 08/19/2008 09:34:53

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

16101	3	Picture	fix	4429908	0	2	30109	4	0	30000
16101	3	Picture	L15	4460017	30109	2	29992	3	30000	30000
16101	3	Picture	L10	4490009	60101	1	29992	2	60000	30000
16101	3	Picture	L05	4520001	90093	1	29991	2	90000	30000
16101	3	Picture	fix	4549992	120084	1	29986	8	120000	30000
16101	3	Picture	R05	4579978	150070	7	29997	8	150000	30000
16101	3	Picture	R10	4609975	180067	1	29992	2	180000	30000
16101	3	Picture	R15	4639967	210059	1	29990	4	210000	30000
16101	3	Picture	fix	4669957	240049	3	30110	4	240000	30000
16101	4	Picture	prep	4700185	0	1	50103	3	0	50000
16101	5	Picture	fix1250	5000453	0	1	12579	7	0	12500
16101	5	Picture	ODRR16	5013032	12579	6	941	12	12500	1000
16101	6	Picture	fix1750	5072197	0	1	17524	3	0	17500
16101	6	Picture	ODRR08	5089721	17524	2	1059	3	17500	1000
16101	7	Picture	fix1250	5148881	0	1	12585	2	0	12500
16101	7	Picture	ODRL16	5161466	12585	1	941	2	12500	1000
16101	8	Picture	fix1750	5220625	0	2	17525	3	0	17500
16101	8	Picture	ODRR08	5238150	17525	1	1058	3	17500	1000
16101	9	Picture	fix1750	5297310	0	1	17519	7	0	17500
16101	9	Picture	ODRL16	5314829	17519	6	1064	9	17500	1000
16101	10	Picture	fix1750	5373994	0	1	17524	2	0	17500
16101	10	Picture	ODRL08	5391518	17524	1	1059	2	17500	1000
16101	11	Picture	fix1750	5450678	0	2	17524	4	0	17500
16101	11	Picture	ODRR16	5468202	17524	2	1059	3	17500	1000
16101	12	Picture	fix1750	5527362	0	1	17524	3	0	17500
16101	12	Picture	ODRL16	5544886	17524	2	1059	3	17500	1000
16101	13	Picture	fix1250	5604046	0	2	12585	3	0	12500
16101	13	Picture	ODRR16	5616631	12585	1	941	2	12500	1000
16101	14	Picture	fix1250	5675790	0	4	12585	6	0	12500
16101	14	Picture	ODRL08	5688375	12585	2	941	3	12500	1000
16101	15	Picture	fix1250	5747534	0	2	12586	3	0	12500
16101	15	Picture	ODRL16	5760120	12586	1	941	2	12500	1000
16101	16	Picture	fix1750	5819279	0	2	17525	3	0	17500
16101	16	Picture	ODRL16	5836804	17525	1	1058	3	17500	1000
16101	17	Picture	fix1250	5895964	0	1	12584	2	0	12500
16101	17	Picture	ODRR08	5908548	12584	1	939	5	12500	1000
16101	18	Picture	fix1250	5967708	0	1	12580	7	0	12500
16101	18	Picture	ODRL08	5980288	12580	6	946	7	12500	1000
16101	19	Picture	fix1750	6039447	0	7	17530	8	0	17500
16101	19	Picture	ODRL08	6056977	17530	1	1058	3	17500	1000
16101	20	Picture	fix1750	6116136	0	2	17525	3	0	17500
16101	20	Picture	ODRL16	6133661	17525	1	1058	3	17500	1000
16101	21	Picture	fix1250	6192821	0	1	12584	3	0	12500
16101	21	Picture	ODRR08	6205405	12584	2	940	6	12500	1000
16101	22	Picture	fix1250	6264565	0	3	12580	10	0	12500
16101	22	Picture	ODRR08	6277145	12580	7	946	8	12500	1000
16101	23	Picture	fix1250	6336309	0	2	12585	3	0	12500
16101	23	Picture	ODRR16	6348894	12585	1	941	2	12500	1000
16101	24	Picture	fix1250	6408054	0	1	12584	3	0	12500
16101	24	Picture	ODRR16	6420638	12584	2	941	4	12500	1000
16101	25	Picture	fix1750	6479798	0	1	17524	3	0	17500
16101	25	Picture	ODRR16	6497322	17524	2	1059	3	17500	1000
16101	26	Picture	fix1250	6556482	0	2	12580	8	0	12500
16101	26	Picture	ODRL16	6569062	12580	6	946	7	12500	1000
16101	27	Picture	fix1750	6628227	0	1	17524	2	0	17500
16101	27	Picture	ODRR16	6645751	17524	1	1059	2	17500	1000
16101	28	Picture	fix1250	6704911	0	1	12584	3	0	12500
16101	28	Picture	ODRR16	6717495	12584	2	941	5	12500	1000
16101	29	Picture	fix1250	6776655	0	1	12585	2	0	12500
16101	29	Picture	ODRR08	6789240	12585	1	941	4	12500	1000
16101	30	Picture	fix1750	6848400	0	1	17519	7	0	17500
16101	30	Picture	ODRR08	6865919	17519	6	1063	9	17500	1000
16101	31	Picture	fix1250	6925084	0	1	12584	3	0	12500
16101	31	Picture	ODRL08	6937668	12584	2	941	3	12500	1000
16101	32	Picture	fix1750	6996828	0	1	17524	3	0	17500
16101	32	Picture	ODRR08	7014352	17524	2	1059	3	17500	1000
16101	33	Picture	fix1250	7073512	0	2	12585	3	0	12500
16101	33	Picture	ODRL16	7086097	12585	1	941	2	12500	1000
16101	34	Picture	fix1250	7145257	0	1	12583	4	0	12500
16101	34	Picture	ODRL08	7157840	12583	3	937	9	12500	1000
16101	35	Picture	fix1750	7216999	0	4	17526	6	0	17500
16101	35	Picture	ODRR16	7234525	17526	2	1054	8	17500	1000
16101	36	Picture	fix1750	7293685	0	1	17525	2	0	17500
16101	36	Picture	ODRL16	7311210	17525	1	1058	2	17500	1000
16101	37	Picture	fix1250	7370369	0	2	12585	3	0	12500
16101	37	Picture	ODRR08	7382954	12585	1	941	2	12500	1000
16101	38	Picture	fix1750	7442114	0	1	17516	11	0	17500
16101	38	Picture	ODRL08	7459630	17516	10	1067	11	17500	1000
16101	39	Picture	fix1750	7518796	0	3	17521	10	0	17500
16101	39	Picture	ODRL08	7536317	17521	7	1064	8	17500	1000
16101	40	Picture	fix1250	7595482	0	1	12585	2	0	12500
16101	40	Picture	ODRL08	7608067	12585	1	940	3	12500	1000
16101	41	Picture	fix1250	7667226	0	2	12585	3	0	12500
16101	41	Picture	ODRL16	7679811	12585	1	941	2	12500	1000
16101	42	Picture	fix1750	7738971	0	1	17523	4	0	17500
16101	42	Picture	ODRR16	7756494	17523	3	1055	9	17500	1000
16101	43	Picture	fix1750	7815655	0	1	17524	3	0	17500
16101	43	Picture	ODRL08	7833179	17524	2	1054	8	17500	1000
16101	44	Picture	fix1750	7892452	0	6	17529	7	0	17500
16101	44	Picture	ODRR08	7909981	17529	1	1053	8	17500	1000
