Scenario - 01 Fix_Anti
Logfile written - 08/19/2008 09:54:35

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

1610111	3	Picture	fix	846571	0	1	30109	2	0	30000
1610111	3	Picture	L15	876680	30109	1	29991	3	30000	30000
1610111	3	Picture	L10	906671	60100	2	29992	3	60000	30000
1610111	3	Picture	L05	936663	90092	1	29987	7	90000	30000
1610111	3	Picture	fix	966650	120079	6	29996	7	120000	30000
1610111	3	Picture	R05	996646	150075	1	29986	8	150000	30000
1610111	3	Picture	R10	1026632	180061	7	29997	8	180000	30000
1610111	3	Picture	R15	1056629	210058	1	29991	3	210000	30000
1610111	3	Picture	fix	1086620	240049	2	30109	4	240000	30000
1610111	4	Picture	break	1116847	0	1	50099	7	0	50000
1610111	5	Picture	fix28250	1417115	0	1	282508	2	0	282500
1610111	6	Picture	fix2150	1699741	0	1	21523	2	0	21500
1610111	6	Picture	gap	1721264	21523	1	1999	3	21500	2000
1610111	6	Picture	ASR10	1723263	23522	2	14114	3	23500	14000
1610111	7	Picture	fix2650	1737495	0	1	26580	3	0	26500
1610111	7	Picture	gap	1764075	26580	2	2000	3	26500	2000
1610111	7	Picture	ASR10	1766075	28580	1	14110	7	28500	14000
1610111	8	Picture	fix2150	1780306	0	2	21519	8	0	21500
1610111	8	Picture	gap	1801825	21519	6	1999	12	21500	2000
1610111	8	Picture	ASR10	1803824	23518	6	14119	7	23500	14000
1610111	9	Picture	fix2650	1818060	0	2	26581	3	0	26500
1610111	9	Picture	gap	1844641	26581	1	1999	3	26500	2000
1610111	9	Picture	ASR05	1846640	28580	2	14114	3	28500	14000
1610111	10	Picture	fix2650	1860867	0	6	26585	8	0	26500
1610111	10	Picture	gap	1887452	26585	2	1995	8	26500	2000
1610111	10	Picture	ASL10	1889447	28580	6	14114	12	28500	14000
1610111	11	Picture	fix2650	1903683	0	1	26581	2	0	26500
1610111	11	Picture	gap	1930264	26581	1	1999	2	26500	2000
1610111	11	Picture	ASR05	1932263	28580	1	14114	2	28500	14000
1610111	12	Picture	fix2150	1946494	0	2	21524	3	0	21500
1610111	12	Picture	gap	1968018	21524	1	1999	2	21500	2000
1610111	12	Picture	ASL10	1970017	23523	1	14114	2	23500	14000
1610111	13	Picture	fix28000	1984248	0	2	280034	8	0	280000
1610111	14	Picture	fix2650	2264403	0	3	26582	4	0	26500
1610111	14	Picture	gap	2290985	26582	1	1995	7	26500	2000
1610111	14	Picture	ASR10	2292980	28577	6	14118	7	28500	14000
1610111	15	Picture	fix2150	2307216	0	1	21523	2	0	21500
1610111	15	Picture	gap	2328739	21523	1	1999	3	21500	2000
1610111	15	Picture	ASR05	2330738	23522	2	14114	3	23500	14000
1610111	16	Picture	fix2650	2344970	0	1	26580	3	0	26500
1610111	16	Picture	gap	2371550	26580	2	2000	3	26500	2000
1610111	16	Picture	ASR10	2373550	28580	1	14109	7	28500	14000
1610111	17	Picture	fix2150	2387781	0	1	21522	4	0	21500
1610111	17	Picture	gap	2409303	21522	3	2000	6	21500	2000
1610111	17	Picture	ASR05	2411303	23522	3	14114	5	23500	14000
1610111	18	Picture	fix2650	2425535	0	1	26581	2	0	26500
1610111	18	Picture	gap	2452116	26581	1	1999	2	26500	2000
1610111	18	Picture	ASL05	2454115	28580	1	14114	2	28500	14000
1610111	19	Picture	fix2150	2468346	0	2	21524	3	0	21500
1610111	19	Picture	gap	2489870	21524	1	1999	3	21500	2000
1610111	19	Picture	ASR05	2491869	23523	2	14109	9	23500	14000
1610111	20	Picture	fix2650	2506100	0	2	26581	3	0	26500
1610111	20	Picture	gap	2532681	26581	1	2000	2	26500	2000
1610111	20	Picture	ASR10	2534681	28581	1	14113	3	28500	14000
1610111	21	Picture	fix28250	2548912	0	1	282508	2	0	282500
1610111	22	Picture	fix2150	2831538	0	1	21522	4	0	21500
1610111	22	Picture	gap	2853060	21522	3	2000	6	21500	2000
1610111	22	Picture	ASR05	2855060	23522	3	14114	4	23500	14000
1610111	23	Picture	fix2150	2869292	0	1	21523	2	0	21500
1610111	23	Picture	gap	2890815	21523	1	1999	3	21500	2000
1610111	23	Picture	ASL10	2892814	23522	2	14114	3	23500	14000
1610111	24	Picture	fix2650	2907046	0	1	26580	3	0	26500
1610111	24	Picture	gap	2933626	26580	2	2000	3	26500	2000
1610111	24	Picture	ASR10	2935626	28580	1	14113	5	28500	14000
1610111	25	Picture	fix2150	2949857	0	2	21522	6	0	21500
1610111	25	Picture	gap	2971379	21522	4	2000	7	21500	2000
1610111	25	Picture	ASR05	2973379	23522	3	14114	5	23500	14000
1610111	26	Picture	fix2150	2987611	0	2	21523	4	0	21500
1610111	26	Picture	gap	3009134	21523	2	2000	3	21500	2000
1610111	26	Picture	ASL05	3011134	23523	1	14113	3	23500	14000
1610111	27	Picture	fix2150	3025365	0	1	21523	3	0	21500
1610111	27	Picture	gap	3046888	21523	2	2000	3	21500	2000
1610111	27	Picture	ASR10	3048888	23523	1	14109	7	23500	14000
1610111	28	Picture	fix2650	3063119	0	1	26581	2	0	26500
1610111	28	Picture	gap	3089700	26581	1	1993	11	26500	2000
1610111	28	Picture	ASL10	3091693	28574	10	14120	11	28500	14000
1610111	29	Picture	fix28250	3105930	0	2	282504	8	0	282500
1610111	30	Picture	fix2150	3388556	0	4	21521	8	0	21500
1610111	30	Picture	gap	3410077	21521	4	1997	10	21500	2000
1610111	30	Picture	ASL10	3412074	23518	6	14119	7	23500	14000
1610111	31	Picture	fix2150	3426310	0	2	21524	3	0	21500
1610111	31	Picture	gap	3447834	21524	1	1999	2	21500	2000
1610111	31	Picture	ASR05	3449833	23523	1	14114	2	23500	14000
1610111	32	Picture	fix2650	3464064	0	2	26581	3	0	26500
1610111	32	Picture	gap	3490645	26581	1	1999	3	26500	2000
1610111	32	Picture	ASL05	3492644	28580	2	14114	3	28500	14000
1610111	33	Picture	fix2150	3506875	0	3	21524	4	0	21500
1610111	33	Picture	gap	3528399	21524	1	2000	2	21500	2000
1610111	33	Picture	ASL10	3530399	23524	1	14113	2	23500	14000
1610111	34	Picture	fix2650	3544630	0	1	26580	3	0	26500
1610111	34	Picture	gap	3571210	26580	2	2000	3	26500	2000
1610111	34	Picture	ASL05	3573210	28580	1	14113	3	28500	14000
1610111	35	Picture	fix2150	3587441	0	1	21524	2	0	21500
1610111	35	Picture	gap	3608965	21524	1	1999	2	21500	2000
1610111	35	Picture	ASR10	3610964	23523	1	14109	8	23500	14000
1610111	36	Picture	fix2650	3625190	0	7	26581	13	0	26500
1610111	36	Picture	gap	3651771	26581	6	1999	13	26500	2000
