Scenario - 01 Fix_Pro
Logfile written - 08/19/2008 09:44:42

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

1610111	3	Picture	fix	918903	0	1	30108	4	0	30000
1610111	3	Picture	L15	949011	30108	3	29992	5	30000	30000
1610111	3	Picture	L10	979003	60100	2	29992	4	60000	30000
1610111	3	Picture	L05	1008995	90092	2	29992	3	90000	30000
1610111	3	Picture	fix	1038987	120084	1	29991	3	120000	30000
1610111	3	Picture	R05	1068978	150075	2	29992	3	150000	30000
1610111	3	Picture	R10	1098970	180067	1	29991	3	180000	30000
1610111	3	Picture	R15	1128961	210058	2	29992	3	210000	30000
1610111	3	Picture	fix	1158953	240050	1	30109	2	240000	30000
1610111	4	Picture	break	1189180	0	4	50103	5	0	50000
1610111	5	Picture	fix27750	1489447	0	3	277569	4	0	277500
1610111	6	Picture	fix2150	1767133	0	2	21524	3	0	21500
1610111	6	Picture	gap	1788657	21524	1	1999	2	21500	2000
1610111	6	Picture	PSL05	1790656	23523	1	14108	8	23500	14000
1610111	7	Picture	fix2150	1804883	0	6	21528	7	0	21500
1610111	7	Picture	gap	1826411	21528	1	1996	5	21500	2000
1610111	7	Picture	PSL05	1828407	23524	4	14117	5	23500	14000
1610111	8	Picture	fix2650	1842641	0	2	26581	3	0	26500
1610111	8	Picture	gap	1869222	26581	1	1999	3	26500	2000
1610111	8	Picture	PSR05	1871221	28580	2	14114	3	28500	14000
1610111	9	Picture	fix2650	1885453	0	1	26580	3	0	26500
1610111	9	Picture	gap	1912033	26580	2	2000	3	26500	2000
1610111	9	Picture	PSL10	1914033	28580	1	14114	2	28500	14000
1610111	10	Picture	fix2150	1928264	0	3	21519	9	0	21500
1610111	10	Picture	gap	1949783	21519	6	1999	12	21500	2000
1610111	10	Picture	PSL05	1951782	23518	6	14118	8	23500	14000
1610111	11	Picture	fix2150	1966018	0	1	21524	2	0	21500
1610111	11	Picture	gap	1987542	21524	1	1999	2	21500	2000
1610111	11	Picture	PSR05	1989541	23523	1	14114	2	23500	14000
1610111	12	Picture	fix2650	2003772	0	1	26581	2	0	26500
1610111	12	Picture	gap	2030353	26581	1	1999	3	26500	2000
1610111	12	Picture	PSL10	2032352	28580	2	14109	8	28500	14000
1610111	13	Picture	fix27750	2046582	0	3	277570	4	0	277500
1610111	14	Picture	fix2150	2324270	0	1	21523	2	0	21500
1610111	14	Picture	gap	2345793	21523	1	1999	3	21500	2000
1610111	14	Picture	PSR10	2347792	23522	2	14109	8	23500	14000
1610111	15	Picture	fix2150	2362024	0	1	21523	2	0	21500
1610111	15	Picture	gap	2383547	21523	1	1999	3	21500	2000
1610111	15	Picture	PSR05	2385546	23522	2	14113	5	23500	14000
1610111	16	Picture	fix2150	2399778	0	1	21518	7	0	21500
1610111	16	Picture	gap	2421296	21518	6	2003	9	21500	2000
1610111	16	Picture	PSL10	2423299	23521	3	14115	4	23500	14000
1610111	17	Picture	fix2650	2437532	0	1	26580	3	0	26500
1610111	17	Picture	gap	2464112	26580	2	2000	3	26500	2000
1610111	17	Picture	PSL05	2466112	28580	1	14110	6	28500	14000
1610111	18	Picture	fix2150	2480338	0	6	21528	8	0	21500
1610111	18	Picture	gap	2501866	21528	2	2000	3	21500	2000
1610111	18	Picture	PSR05	2503866	23528	1	14113	3	23500	14000
1610111	19	Picture	fix2150	2518097	0	1	21518	8	0	21500
1610111	19	Picture	gap	2539615	21518	7	2004	10	21500	2000
1610111	19	Picture	PSR10	2541619	23522	3	14114	5	23500	14000
1610111	20	Picture	fix2650	2555851	0	1	26581	2	0	26500
1610111	20	Picture	gap	2582432	26581	1	1999	3	26500	2000
1610111	20	Picture	PSL05	2584431	28580	2	14114	3	28500	14000
1610111	21	Picture	fix27750	2598658	0	6	277573	7	0	277500
1610111	22	Picture	fix2150	2876348	0	2	21524	3	0	21500
1610111	22	Picture	gap	2897872	21524	1	1999	2	21500	2000
1610111	22	Picture	PSR10	2899871	23523	1	14114	2	23500	14000
1610111	23	Picture	fix2150	2914103	0	1	21523	2	0	21500
1610111	23	Picture	gap	2935626	21523	1	1999	2	21500	2000
1610111	23	Picture	PSR05	2937625	23522	1	14109	8	23500	14000
1610111	24	Picture	fix2650	2951855	0	3	26581	7	0	26500
1610111	24	Picture	gap	2978436	26581	4	2000	6	26500	2000
1610111	24	Picture	PSR10	2980436	28581	2	14114	4	28500	14000
1610111	25	Picture	fix2650	2994668	0	1	26581	2	0	26500
1610111	25	Picture	gap	3021249	26581	1	1999	2	26500	2000
1610111	25	Picture	PSR10	3023248	28580	1	14113	3	28500	14000
1610111	26	Picture	fix2650	3037474	0	7	26581	13	0	26500
1610111	26	Picture	gap	3064055	26581	6	2000	12	26500	2000
1610111	26	Picture	PSL05	3066055	28581	6	14118	7	28500	14000
1610111	27	Picture	fix2150	3080291	0	1	21523	2	0	21500
1610111	27	Picture	gap	3101814	21523	1	1999	3	21500	2000
1610111	27	Picture	PSR05	3103813	23522	2	14114	3	23500	14000
1610111	28	Picture	fix2150	3118045	0	1	21523	2	0	21500
1610111	28	Picture	gap	3139568	21523	1	1999	3	21500	2000
1610111	28	Picture	PSL10	3141567	23522	2	14114	3	23500	14000
1610111	29	Picture	fix28250	3155794	0	6	282513	7	0	282500
1610111	30	Picture	fix2650	3438424	0	2	26581	3	0	26500
1610111	30	Picture	gap	3465005	26581	1	2000	2	26500	2000
1610111	30	Picture	PSL10	3467005	28581	1	14113	3	28500	14000
1610111	31	Picture	fix2150	3481236	0	1	21523	2	0	21500
1610111	31	Picture	gap	3502759	21523	1	2000	2	21500	2000
1610111	31	Picture	PSL10	3504759	23523	1	14113	3	23500	14000
1610111	32	Picture	fix2650	3518990	0	1	26581	2	0	26500
1610111	32	Picture	gap	3545571	26581	1	1999	2	26500	2000
1610111	32	Picture	PSL10	3547570	28580	1	14114	2	28500	14000
1610111	33	Picture	fix2650	3561801	0	2	26581	3	0	26500
1610111	33	Picture	gap	3588382	26581	1	1999	3	26500	2000
1610111	33	Picture	PSR05	3590381	28580	2	14109	9	28500	14000
1610111	34	Picture	fix2650	3604612	0	3	26580	6	0	26500
1610111	34	Picture	gap	3631192	26580	3	2000	6	26500	2000
1610111	34	Picture	PSR05	3633192	28580	3	14114	5	28500	14000
1610111	35	Picture	fix2650	3647424	0	1	26581	2	0	26500
1610111	35	Picture	gap	3674005	26581	1	1999	2	26500	2000
1610111	35	Picture	PSR05	3676004	28580	1	14114	2	28500	14000
1610111	36	Picture	fix2150	3690235	0	2	21524	3	0	21500
1610111	36	Picture	gap	3711759	21524	1	1999	3	21500	2000
1610111	36	Picture	PSL10	3713758	23523	2	14113	6	23500	14000
1610111	37	Picture	fix28250	3727989	0	2	282509	3	0	282500
1610111	38	Picture	fix2650	4010615	0	2	26581	3	0	26500
1610111	38	Picture	gap	4037196	26581	1	1999	3	26500	2000
1610111	38	Picture	PSL05	4039195	28580	2	14113	5	28500	14000
1610111	39	Picture	fix2150	4053427	0	1	21518	7	0	21500
1610111	39	Picture	gap	4074945	21518	6	1999	13	21500	2000
1610111	39	Picture	PSR05	4076944	23517	7	14119	8	23500	14000
1610111	40	Picture	fix2650	4091181	0	1	26580	3	0	26500
1610111	40	Picture	gap	4117761	26580	2	2000	3	26500	2000
1610111	40	Picture	PSL05	4119761	28580	1	14113	3	28500	14000
1610111	41	Picture	fix2650	4133992	0	1	26576	7	0	26500
